date,id,amount_manner,location,location_id,observer_name,observer_id,validation,page
2024-05-15 18:21,309746406,1,Braine-l'Alleud (Brabant Wallon),43444,Didier Chalon,48715,goedgekeurd (automatische validatie),256
2024-05-15 17:41,309791493,1  gezien,Heverlee - West (Vlaams-Brabant),30917,Marc Herremans,40019,goedgekeurd (automatische validatie),256
2024-05-15 16:58,309710801,"1  adult, overvliegend, gezien en gehoord",Haacht - Antitankgracht (Vlaams-Brabant),24412,Christiaen Mous,99160,onbekend,256
2024-05-15 15:42,309725364,4  gezien en gehoord,Berchem-Ste-Agathe/St-Agatha-Berchem - Kattebroeck (Bruxelles / Brussel),32597,Sara Velghe,72841,goedgekeurd (automatische validatie),256
2024-05-15,309702910,"1  adult, foeragerend, gezien",Kessel-Lo - Provinciedomein Leopoldspark (Vlaams-Brabant),30910,Fred Vanwezer,94082,goedgekeurd (automatische validatie),256
2024-05-15 14:19,309760690,1  gezien,Sint-Kwintens-Lennik (Dg) (Vlaams-Brabant),27764,Davy De Groote,40131,goedgekeurd (automatische validatie),256
2024-05-15 14:14,309742492,"1  overvliegend, gehoord",Bazel - Bazelse Kooi (BAKO) (Oost-Vlaanderen),29915,Ward Van den Eynde,253490,onbekend,256
2024-05-15 13:24,314100697,1,Wijnegem (Antwerpen),23284,Luc J. M. Bijnens,166900,goedgekeurd (automatische validatie),256
2024-05-15 11:17,309708996,1  roepend,Aalbeke (Dg) (West-Vlaanderen),24033,Kris De Wit,40651,goedgekeurd (automatische validatie),256
2024-05-15 10:58,309772508,"1  overvliegend, gezien",Réserve de la Fontaine bleue (ZHIB) (Hainaut),142784,pierre fourez,45788,onbekend,256
2024-05-15 09:42,309764410,1  gezien en gehoord,Drongen - Assels Zuid (Oost-Vlaanderen),35402,Ward Stulens,42212,goedgekeurd (automatische validatie),256
2024-05-15 08:45,310512535,"1  adult zomerkleed, roepend, gehoord",Zaventem (Vlaams-Brabant),23268,Franz Pieters,143101,goedgekeurd (automatische validatie),256
2024-05-15,327701422,2,Antwerpen - Statiekwartier (Dg) (Antwerpen),27160,Jef Tegenbos,114880,goedgekeurd (automatische validatie),256
2024-05-15,310524642,2,Blaasveld (Dg) (Antwerpen),27200,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),256
2024-05-14 20:27,309595672,1,Willebroek - Broek Denaeyer (Groendomein provincie Antwerpen - regio Mechelen) (Antwerpen),29065,Frank Van Breedam,196432,goedgekeurd (automatische validatie),256
2024-05-14 20:19,309602359,6  overvliegend oost,Aalst (Aalst) (Dg) (Oost-Vlaanderen),27451,Franscoppi,231981,onbekend,256
2024-05-14 19:52,309746349,"2  roepend, gehoord",Diest - Centrum (Vlaams-Brabant),30991,Sofie VB,203978,goedgekeurd (automatische validatie),256
2024-05-14 19:51,309637139,"1  adult in broedbiotoop, gehoord",Diest - Centrum (Vlaams-Brabant),30991,Koen Berwaerts,40038,goedgekeurd (automatische validatie),256
2024-05-14 19:47,309635306,1,Sint-Denijs/De Pinte - Parkbos (Oost-Vlaanderen),252143,Guido Minnaert,40382,goedgekeurd (automatische validatie),256
2024-05-14 18:41,310072545,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),256
2024-05-14 18:29,309591790,1  roepend,Tourinnes-La-Grosse (Brabant Wallon),41761,Frederik De Vos,43241,goedgekeurd (automatische validatie),256
2024-05-14 17:06,309593681,3,Bissegem (Dg) (West-Vlaanderen),27349,Tom Gheskiere,40363,goedgekeurd (automatische validatie),256
2024-05-14 16:56,309672627,1,Thieu (réserve naturelle) (Hainaut),42888,Julien Taymans,43614,goedgekeurd (automatische validatie),257
2024-05-14 13:01,309511642,3  overvliegend,Heverlee - Egenhoven - Egenhoven Bos (Vlaams-Brabant),30919,Chris Van Brabant,797458,onbekend,257
2024-05-14 11:36,309537382,1,Harelbeke/Deerlijk - De Gavers (Provinciedomein) (West-Vlaanderen),31857,Jo Seynaeve,84341,goedgekeurd (automatische validatie),257
2024-05-14 10:40,309782491,"1  adult, foeragerend, gezien en gehoord",Bruxelles/Brussel - Pentagone/Pentagoon (Dg) (Bruxelles / Brussel),27811,Coppée Jean-Philippe,40401,goedgekeurd (automatische validatie),257
2024-05-14 10:36,309504810,"1  adult, gezien",Steendorp/Rupelmonde - Vijver en omgeving (STRU) (Oost-Vlaanderen),28350,Tine,415520,goedgekeurd (automatische validatie),257
2024-05-14 08:54,309624276,1,Braine-l'Alleud (Brabant Wallon),43444,Didier Chalon,48715,goedgekeurd (automatische validatie),257
2024-05-14 08:49,309569904,"1  overvliegend, gezien en gehoord",Mouscron (Hainaut),43487,pierre fourez,45788,onbekend,257
2024-05-14 08:45,309554101,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),257
2024-05-14 08:44,309529357,1,Deerlijk (West-Vlaanderen),24037,Jean-Marie Kerkhove,117765,goedgekeurd (automatische validatie),257
2024-05-14 08:32,309607168,6,IPA_221 Cimetiere de Bruxelles (Bruxelles / Brussel),614959,Denis van der Elst,66921,onbekend,257
2024-05-14 07:55,309493340,1  gehoord,Kruibeke - Kruibeke Polder (KRPO) (Oost-Vlaanderen),28349,Ward Van den Eynde,253490,goedgekeurd (automatische validatie),257
2024-05-14 07:43,309606799,2,IPA_507 Bon Pasteur (Bruxelles / Brussel),614955,Denis van der Elst,66921,onbekend,257
2024-05-14 07:36,309476825,1,Sint-Martens-Latem (Oost-Vlaanderen),24188,Guido Minnaert,40382,goedgekeurd (automatische validatie),257
2024-05-14 07:17,309606227,2,IPA_502 Moeraske (Bruxelles / Brussel),614954,Denis van der Elst,66921,onbekend,257
2024-05-14 07:15,309486787,1,Berchem-Ste-Agathe/St-Agatha-Berchem - Kattebroeck (Bruxelles / Brussel),32597,Francis Hermans,64052,goedgekeurd (automatische validatie),257
2024-05-14 06:42,309605407,1,IPA_220 Parc Josaphat (Bruxelles / Brussel),614960,Denis van der Elst,66921,onbekend,257
2024-05-14 06:19,309604334,1,IPA_206 Square Marie Louise (Bruxelles / Brussel),614983,Denis van der Elst,66921,onbekend,257
2024-05-14 06:02,309603013,3,IPA_203 Square Marguerite Ambiorix (Bruxelles / Brussel),614984,Denis van der Elst,66921,onbekend,257
2024-05-14 05:40,309602005,9,IPA_204 Parc du Cinquantenaire (Bruxelles / Brussel),614986,Denis van der Elst,66921,onbekend,257
2024-05-14 05:23,309618920,"1  adult, foeragerend, gezien en gehoord",Brasschaat (Antwerpen),23366,Geert Steel,161301,goedgekeurd (met bewijs),257
2024-05-14,327701165,1,Antwerpen - Statiekwartier (Dg) (Antwerpen),27160,Jef Tegenbos,114880,goedgekeurd (automatische validatie),257
2024-05-14,309554562,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),257
2024-05-14,309554343,1,Willebroek (Antwerpen),23354,Wim Van den Bossche,40394,goedgekeurd (automatische validatie),257
2024-05-13 19:55,309423931,10  gezien,Ransart (Hainaut),23736,Jacques Bultot,43841,goedgekeurd (automatische validatie),257
2024-05-13 19:38,309435566,1,Willebroek - Broek Denaeyer (Groendomein provincie Antwerpen - regio Mechelen) (Antwerpen),29065,Frank Van Breedam,196432,goedgekeurd (automatische validatie),257
2024-05-13 19:21,309852431,"2  overvliegend, gezien en gehoord",Ekeren - Dorpskern (Antwerpen),28286,Bernd Willaert,46456,onbekend,258
2024-05-13,309414859,"5  overvliegend, gezien en gehoord",Leefdaal - Duivendelle (Vlaams-Brabant),28471,Jurgen Delagrange,166790,onbekend,258
2024-05-13,309455692,"4  overvliegend, gezien en gehoord",Warquignies (Hainaut),41944,Michel Jospin,802341,onbekend,258
2024-05-13,310722685,4,Forest/Vorst  (Dg) (Bruxelles / Brussel),23170,SebastiaanV,119860,goedgekeurd (automatische validatie),258
2024-05-13 14:26,309429878,1,Wijgmaal - Wijgmaalbroek (Vlaams-Brabant),24403,Pieter F,267101,goedgekeurd (automatische validatie),258
